,wavelen,flux,flux_unc,mask
1729,4390.669267371385,9.950685036598453e-16,4.753470000000002e-19,True
1730,4391.712888937458,9.96751189121952e-16,4.79381e-19,True
1731,4392.756758562746,1.0086095533170411e-15,4.852390000000001e-19,True
1732,4393.800876306219,1.0144064500625144e-15,4.737789999999999e-19,True
1733,4394.845242226836,1.0435172251475743e-15,4.7418599999999985e-19,True
1734,4395.8898563835855,1.0613154763754461e-15,4.698690000000001e-19,True
1735,4396.934718835497,1.067667583029438e-15,4.779450000000001e-19,True
1736,4397.979829641555,1.0732355381483045e-15,4.742530000000001e-19,True
1737,4399.025188860815,1.0843081953180478e-15,4.732940000000001e-19,True
1738,4400.070796552313,1.0969961894800454e-15,4.736369999999999e-19,True
1739,4401.116652775104,1.091416486547217e-15,4.84671e-19,True
1740,4402.162757588274,1.0809256678445707e-15,4.799599999999999e-19,True
1741,4403.209111050913,1.0882048310202353e-15,4.80174e-19,True
1742,4404.255713222106,1.10367117002708e-15,4.819080000000001e-19,True
1743,4405.3025641609765,1.0988328691746269e-15,4.82454e-19,True
1744,4406.349663926647,1.076255829617028e-15,4.9243200000000005e-19,True
1745,4407.397012578275,1.0749634909463088e-15,4.92958e-19,True
1746,4408.444610175014,1.0580475657264736e-15,4.949799999999999e-19,True
1747,4409.492456776025,1.0583610505994752e-15,4.854999999999999e-19,True
1748,4410.540552440512,1.0402608586407458e-15,4.90336e-19,True
1749,4411.588897227665,1.0413873798625655e-15,4.86163e-19,True
1750,4412.637491196709,1.1124407536251386e-15,4.889209999999999e-19,True
1751,4413.686334406853,1.1160644011625416e-15,4.775040000000002e-19,True
1752,4414.735426917342,1.075676028152502e-15,4.783929999999999e-19,True
1753,4415.784768787439,1.0713552023479378e-15,4.87436e-19,True
1754,4416.834360076423,1.090888438713143e-15,4.80303e-19,True
1755,4417.88420084357,1.0962387467113782e-15,4.89242e-19,True
1756,4418.934291148179,1.1073480727193245e-15,4.77948e-19,True
1757,4419.984631049563,1.1119874114880364e-15,4.84344e-19,True
1758,4421.035220607049,1.1013639798539523e-15,4.78016e-19,True
1759,4422.086059879977,1.096087492018434e-15,4.863469999999998e-19,True
1760,4423.137148927703,1.0956515011765427e-15,4.802560000000001e-19,True
1761,4424.188487809595,1.0955022700434676e-15,4.794220000000002e-19,True
1762,4425.240076585038,1.0729937159694716e-15,4.810980000000001e-19,True
1763,4426.291915313428,1.0507155963337775e-15,4.842390000000001e-19,True
1764,4427.344004054169,1.068200383568523e-15,4.8592899999999995e-19,True
1765,4428.39634286671,1.0912410695630878e-15,4.72132e-19,True
1766,4429.448931810461,1.062590017591422e-15,4.81174e-19,True
1767,4430.501770944905,1.0103368884219793e-15,4.81682e-19,True
1768,4431.554860329479,1.0105959643687032e-15,4.82299e-19,True
1769,4432.608200023682,1.0105149399550618e-15,4.771260000000003e-19,True
1770,4433.661790087018,1.0284513277337229e-15,4.86143e-19,True
1771,4434.715630578989,1.0935596353815835e-15,4.87415e-19,True
1772,4435.769721559119,1.093434829562861e-15,4.792850000000001e-19,True
1773,4436.824063086956,1.09066230199325e-15,4.79777e-19,True
1774,4437.878655222028,1.0916777521882568e-15,4.81376e-19,True
1775,4438.933498023926,1.1004816699024514e-15,4.863890000000001e-19,True
1776,4439.988591552224,1.1006411332503322e-15,4.768939999999999e-19,True
1777,4441.043935866517,1.0671843145830236e-15,4.815460000000001e-19,True
1778,4442.099531026414,1.0674374289009425e-15,4.784399999999999e-19,True
1779,4443.155377091532,1.0912847865923151e-15,4.710449999999999e-19,True
