# objname, z, logm_median, logm_errup, logm_errdown, logsfr_median, logsfr_errup, logsfr_errdown, fagn_median, fagn_errup, fagn_errdown, fmir_median, fmir_errup, fmir_errdown, ssfr_100_median, ssfr_100_errup, ssfr_100_errdown, massmet_2_median, massmet_2_errup, massmet_2_errdown, dust2_median, dust2_errup, dust2_errdown, avg_age_median, avg_age_errup, avg_age_errdown 
434855,0.480,9.737,9.838,9.671,0.403,0.520,0.288,0.031,0.060,0.006,0.193,0.352,0.039,-9.337,-9.158,-9.541,-0.121,0.000,-0.244,0.803,0.977,0.610,1.953,3.456,0.716
434860,0.696,10.155,10.190,10.116,0.012,0.213,-0.178,0.000,0.002,0.000,0.004,0.024,0.001,-10.147,-9.926,-10.349,-0.414,-0.210,-0.618,0.353,0.458,0.252,3.915,4.279,3.530
434891,0.345,9.370,9.499,9.319,-0.152,-0.022,-0.272,0.002,0.008,0.000,0.014,0.058,0.002,-9.539,-9.416,-9.671,-0.645,-0.431,-0.916,0.609,0.708,0.512,2.877,4.570,2.009
434921,0.404,10.712,10.732,10.621,-1.934,-1.287,-3.697,0.000,0.002,0.000,0.006,0.035,0.001,-12.625,-11.974,-14.377,-0.429,-0.309,-0.550,0.256,0.336,0.166,8.533,8.695,6.209
434926,0.426,10.251,10.289,10.213,0.330,0.446,0.221,0.000,0.007,0.000,0.006,0.097,0.001,-9.921,-9.801,-10.037,-0.532,-0.382,-0.688,0.177,0.253,0.105,4.622,5.052,4.207
434931,0.643,9.251,9.324,9.178,-1.642,-1.078,-2.646,0.000,0.007,0.000,0.007,0.096,0.001,-10.904,-10.304,-11.925,-0.759,-0.196,-1.435,0.448,0.725,0.161,4.502,5.138,3.830
434944,0.660,10.222,10.307,10.156,1.291,1.342,1.167,0.000,0.001,0.000,0.002,0.011,0.001,-8.959,-8.856,-9.092,-0.787,-0.628,-0.921,0.476,0.632,0.343,2.843,3.506,2.126
434952,0.356,10.214,10.285,10.165,-0.841,-0.654,-1.091,0.000,0.001,0.000,0.002,0.014,0.000,-11.069,-10.854,-11.324,-0.459,-0.268,-0.675,0.412,0.514,0.322,6.242,7.972,5.511
434953,0.381,10.317,10.349,10.290,-0.089,0.037,-0.208,0.001,0.008,0.000,0.018,0.114,0.001,-10.405,-10.279,-10.539,0.069,0.149,-0.073,0.174,0.263,0.115,5.702,6.453,5.195
434954,0.366,9.168,9.214,9.110,-0.385,-0.269,-0.487,0.000,0.003,0.000,0.012,0.081,0.002,-9.555,-9.407,-9.671,-0.636,-0.500,-0.786,0.058,0.113,0.022,4.552,5.077,3.882
434955,0.639,10.003,10.047,9.952,-0.834,-0.473,-1.293,0.000,0.007,0.000,0.005,0.074,0.001,-10.838,-10.468,-11.318,-0.676,-0.446,-0.903,0.568,0.702,0.421,4.864,5.503,4.375
434971,0.788,9.543,9.604,9.475,-0.079,0.081,-0.254,0.001,0.013,0.000,0.010,0.134,0.001,-9.631,-9.420,-9.831,-0.466,-0.173,-0.794,0.432,0.600,0.234,3.456,3.927,2.988
434974,0.564,10.351,10.376,10.316,0.360,0.520,0.232,0.000,0.002,0.000,0.005,0.034,0.001,-9.990,-9.805,-10.132,-0.323,-0.175,-0.496,0.208,0.323,0.106,4.410,4.757,4.090
434977,0.461,10.754,10.782,10.732,-1.682,-1.087,-3.083,0.000,0.002,0.000,0.004,0.034,0.001,-12.439,-11.848,-13.838,-0.350,-0.246,-0.459,0.175,0.231,0.121,6.286,6.931,5.825
434999,0.793,9.627,9.693,9.546,0.076,0.206,-0.064,0.001,0.023,0.000,0.011,0.198,0.001,-9.555,-9.377,-9.722,-1.035,-0.797,-1.301,0.227,0.344,0.126,3.296,3.698,2.861
435040,0.491,10.855,10.871,10.839,-0.264,-0.168,-0.384,0.002,0.007,0.000,0.043,0.132,0.011,-11.121,-11.023,-11.239,-0.134,-0.063,-0.218,0.052,0.100,0.018,6.134,6.569,5.814
435119,0.790,10.965,10.983,10.948,-1.977,-1.230,-3.746,0.001,0.005,0.000,0.012,0.098,0.001,-12.939,-12.196,-14.707,-0.346,-0.213,-0.461,0.177,0.226,0.130,4.412,4.702,4.167
435120,0.770,9.852,9.872,9.435,1.058,1.105,0.720,0.004,0.077,0.003,0.025,0.353,0.017,-8.776,-8.721,-8.822,-1.210,-0.385,-1.292,1.138,1.176,0.437,4.580,5.094,3.412
435134,0.410,11.171,11.208,11.122,-2.760,-1.724,-5.004,0.001,0.002,0.000,0.014,0.036,0.005,-13.928,-12.882,-16.182,-0.442,-0.346,-0.555,0.203,0.235,0.167,7.501,8.245,6.338
435144,0.747,9.793,9.804,9.779,-1.209,-0.452,-2.760,0.000,0.002,0.000,0.002,0.018,0.000,-11.007,-10.240,-12.550,-1.966,-1.947,-1.976,0.944,0.965,0.924,0.533,0.598,0.524
435162,0.250,8.628,8.697,8.542,-1.830,-1.449,-2.272,0.005,0.045,0.000,0.074,0.524,0.002,-10.454,-10.075,-10.901,-1.474,-1.156,-1.775,0.253,0.390,0.116,4.996,5.692,4.127
435167,0.230,9.749,9.797,9.705,0.325,0.416,0.230,0.003,0.011,0.000,0.045,0.180,0.008,-9.431,-9.328,-9.525,-0.660,-0.511,-0.795,0.200,0.257,0.139,5.279,5.810,4.834
435188,0.368,10.032,10.061,10.013,-2.879,-2.002,-4.852,0.000,0.002,0.000,0.005,0.035,0.001,-12.912,-12.036,-14.868,-1.926,-1.863,-1.962,0.225,0.246,0.201,6.503,7.160,6.058
435200,0.602,10.240,10.280,10.199,0.440,0.603,0.309,0.002,0.013,0.000,0.019,0.111,0.002,-9.804,-9.616,-9.954,-0.405,-0.184,-0.647,0.404,0.523,0.281,3.944,4.298,3.574
435206,0.732,9.524,9.620,9.422,0.204,0.361,0.063,0.001,0.006,0.000,0.006,0.048,0.001,-9.310,-9.134,-9.495,-0.807,-0.210,-1.200,0.456,0.616,0.260,2.810,3.343,2.151
435210,0.400,8.875,8.946,8.801,-2.196,-1.699,-3.191,0.000,0.006,0.000,0.004,0.058,0.000,-11.080,-10.547,-12.074,-1.522,-1.142,-1.801,1.167,1.348,0.978,5.520,6.388,4.777
